name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
Janus Henderson Forty Fund Class T (JACTX),Large Growth,6,17.95,1.61,0.90,0.97
T. Rowe Price Global Stock Fund (PRGSX),World Large-Stock Growth,6,19.65,1.47,1.05,0.89
Wells Fargo Fundamental Small Cap Growth Fund - Class Admin (EGWDX),Small Growth,7,25.32,1.14,0.99,0.91
Franklin Small-Mid Cap Growth Fund Class C (FRSIX),Mid-Cap Growth,6,22.25,1.30,1.03,0.96
Fidelity® Growth Discovery Fund (FDSVX),Large Growth,6,18.78,1.54,0.95,0.98
Wasatch Micro Cap Value Fund Institutional Class Shares (WGMVX),Small Growth,7,24.50,1.18,0.83,0.85
Principal Blue Chip Fund Class C (PBLCX),Large Growth,6,19.25,1.50,0.96,0.95
Fidelity® Select Brokerage and Investment Management Portfolio (FSLBX),Financial,7,21.91,1.31,1.11,0.87
Wells Fargo Omega Growth Fund - Class Inst (EKONX),Large Growth,6,20.09,1.43,0.99,0.94
Morgan Stanley Europe Opportunity Fund Inc. Class I (EUGDX),Europe Stock,7,17.79,1.62,0.83,0.77
Alger Focus Equity Fund Class I (ALGRX),Large Growth,6,18.96,1.52,0.96,0.97
BNY Mellon Small/Mid Cap Growth Fund Class A (DBMAX),Mid-Cap Growth,6,24.91,1.15,1.04,0.93
Edgewood Growth Fund Retail Class (EGFFX),Large Growth,6,17.64,1.63,0.88,0.88
The Hartford Growth Opportunities Fund Class A (HGOAX),Large Growth,6,21.55,1.33,1.03,0.88
Segall Bryant & Hamill Small Cap Growth Fund Retail Class (WTSGX),Small Growth,7,22.86,1.26,0.91,0.94
Wells Fargo Fundamental Small Cap Growth Fund - Class Inst (EGRYX),Small Growth,7,25.26,1.14,0.99,0.91
Alger Focus Equity Fund Class A (ALAFX),Large Growth,6,18.95,1.52,0.96,0.97
T. Rowe Price All-Cap Opportunities Fund (PRWAX),Large Growth,6,19.14,1.50,0.96,0.93
Wasatch Micro Cap Value Fund (WAMVX),Small Growth,7,24.49,1.17,0.83,0.85
Grandeur Peak Global Stalwarts Fund Investor Class (GGSOX),World Small/Mid Stock,7,21.80,1.32,,
Invesco Discovery Mid Cap Growth Fund A (OEGAX),Mid-Cap Growth,6,20.11,1.43,0.92,0.93
JPMorgan Mid Cap Growth Fund Class I (HLGEX),Mid-Cap Growth,6,20.84,1.38,0.97,0.97
HCM Tactical Growth Fund Investor Class (HCMDX),Large Growth,6,23.31,1.23,1.15,0.82
ProFunds NASDAQ-100 Fund Investor Class (OTPIX),Large Growth,6,19.90,1.44,,
BlackRock Mid-Cap Growth Equity Portfolio Investor A Shares (BMGAX),Mid-Cap Growth,6,21.05,1.36,0.95,0.91
BlackRock Mid-Cap Growth Equity Portfolio Service Shares (CMGSX),Mid-Cap Growth,6,21.04,1.36,0.95,0.91
Nuveen Winslow Large-Cap Growth ESG Fund Class A (NWCAX),Large Growth,6,18.86,1.52,0.95,0.97
Wells Fargo Endeavor Select Fund - Class C (WECCX),Large Growth,6,18.10,1.58,0.90,0.94
Wells Fargo Growth Fund - Class Inst (SGRNX),Large Growth,6,22.16,1.29,1.07,0.91
Rydex NASDAQ-100® Fund Class C (RYCOX),Large Growth,6,19.92,1.43,,
DWS Large Cap Focus Growth Fund - Class Inst (SGGIX),Large Growth,6,18.40,1.55,0.93,0.96
Wells Fargo Omega Growth Fund - Class Admin (EOMYX),Large Growth,6,20.08,1.42,0.99,0.94
Congress Mid Cap Growth Fund Institutional Class (IMIDX),Mid-Cap Growth,6,19.47,1.46,0.88,0.91
Hood River Small-Cap Growth Fund Class Institutional (HRSMX),Small Growth,7,25.61,1.11,1.01,0.92
Fidelity® Nasdaq® Composite Index Fund (FNCMX),Large Growth,6,20.18,1.41,1.00,1.00
Tanaka Growth Fund (TGFRX),Mid-Cap Growth,6,29.69,0.96,1.10,0.53
Polen Growth Fund Institutional Class (POLIX),Large Growth,6,17.94,1.58,0.92,0.90
Franklin Growth Opportunities Fund Class A (FGRAX),Large Growth,6,20.44,1.39,1.01,0.94
Putnam Small Cap Growth Fund Class A (PNSAX),Small Growth,7,21.54,1.32,0.83,0.89
Morgan Stanley Europe Opportunity Fund Inc. Class A (EUGAX),Europe Stock,7,17.79,1.59,0.83,0.77
Goldman Sachs Small/Mid Cap Growth Fund Class C (GSMGX),Mid-Cap Growth,6,21.48,1.32,0.92,0.98
MainStay Winslow Large Cap Growth Fund Class I (MLAIX),Large Growth,6,18.81,1.51,0.95,0.97
Virtus AllianzGI Focused Growth Fund Class C (PGWCX),Large Growth,6,20.92,1.35,1.06,0.97
Wells Fargo Growth Fund - Class Admin (SGRKX),Large Growth,6,22.17,1.28,1.07,0.91
Congress Small Cap Growth Fund Institutional Class (CSMCX),Small Growth,7,21.45,1.32,0.82,0.86
USAA Science & Technology Fund (USSCX),Technology,7,23.33,1.21,1.09,0.74
Wells Fargo Fundamental Small Cap Growth Fund - Class A (EGWAX),Small Growth,7,25.20,1.12,0.99,0.91
Putnam Sustainable Future Fund Class A (PMVAX),Large Growth,6,19.79,1.43,0.91,0.95
JPMorgan Mid Cap Growth Fund Class A (OSGIX),Mid-Cap Growth,6,20.83,1.36,0.97,0.97
Fidelity® Large Cap Growth Index Fund (FSPGX),Large Growth,6,19.51,1.45,1.00,1.00
Wells Fargo Omega Growth Fund - Class A (EKOAX),Large Growth,6,20.08,1.41,0.99,0.94
Calvert US Large Cap Growth Responsible Index Fund Class I (CGJIX),Large Growth,6,18.61,1.52,,
Schwab ® U.S. Large-Cap Growth Index Fund (SWLGX),Large Growth,6,19.51,1.45,1.00,1.00
TIAA-CREF Large-Cap Growth Index Fund Institutional Class (TILIX),Large Growth,6,19.51,1.45,1.00,1.00
DWS Large Cap Focus Growth Fund - Class A (SGGAX),Large Growth,6,18.43,1.53,0.93,0.96
Hood River Small-Cap Growth Fund Investor Shares (HRSRX),Small Growth,7,25.62,1.10,1.01,0.92
Wells Fargo Discovery Fund - Class Inst (WFDSX),Mid-Cap Growth,6,24.22,1.16,1.01,0.92
Congress Mid Cap Growth Fund Retail Class (CMIDX),Mid-Cap Growth,6,19.44,1.45,0.88,0.91
Matthews Emerging Markets Small Companies Fund Institutional Class Shares (MISMX),Pacific/Asia ex-Japan Stk,8,19.84,1.42,0.76,0.72
Columbia Select Large Cap Growth Fund Class A (ELGAX),Large Growth,6,22.36,1.26,1.08,0.89
Polen Growth Fund Investor Class (POLRX),Large Growth,6,17.94,1.57,0.92,0.90
Wells Fargo Growth Fund - Class A (SGRAX),Large Growth,6,22.15,1.27,1.07,0.91
MainStay Winslow Large Cap Growth Fund Class A (MLAAX),Large Growth,6,18.76,1.50,0.95,0.97
BlackRock Large Cap Focus Growth Fund Institutional Shares (MAFOX),Large Growth,6,18.90,1.48,0.94,0.94
Franklin Gold and Precious Metals Fund Class C (FRGOX),Equity Precious Metals,8,38.03,0.74,1.16,0.31
Eventide Gilead Class C (ETCGX),Mid-Cap Growth,6,23.28,1.20,1.06,0.71
Congress Small Cap Growth Fund Retail Class (CSMVX),Small Growth,7,21.44,1.31,0.82,0.86
MFS Technology Fund Class I (MTCIX),Technology,7,19.56,1.43,0.97,0.84
USAA Science & Technology Fund Class A (USTCX),Technology,7,23.34,1.20,1.09,0.74
Calvert US Large Cap Growth Responsible Index Fund Class A (CGJAX),Large Growth,6,18.60,1.50,,
Matthews Emerging Markets Small Companies Fund Investor Class Shares (MSMLX),Pacific/Asia ex-Japan Stk,8,19.85,1.40,0.76,0.72
Thrivent Large Cap Growth Fund Class S (THLCX),Large Growth,6,19.72,1.41,1.00,0.98
Wells Fargo Discovery Fund - Class Admin (WFDDX),Mid-Cap Growth,6,24.21,1.15,1.00,0.92
Virtus KAR Capital Growth Fund Class C (SSTFX),Large Growth,6,21.30,1.31,1.03,0.89
The Hartford Growth Opportunities Fund Class C (HGOCX),Large Growth,6,21.53,1.29,1.03,0.88
BNY Mellon Small/Mid Cap Growth Fund Class C (DBMCX),Mid-Cap Growth,6,24.91,1.12,1.04,0.93
Wells Fargo Discovery Fund - Class A (WFDAX),Mid-Cap Growth,6,24.22,1.15,1.01,0.92
Wells Fargo Growth Fund - Class C (WGFCX),Large Growth,6,22.31,1.24,1.09,0.91
Alger Focus Equity Fund Class C (ALCFX),Large Growth,6,18.95,1.46,0.96,0.97
Invesco Discovery Mid Cap Growth Fund C (OEGCX),Mid-Cap Growth,6,20.07,1.38,0.92,0.93
Alger Spectra Fund Class Z (ASPZX),Large Growth,6,19.51,1.42,0.98,0.97
BlackRock Large Cap Focus Growth Fund Investor A Shares (MDFOX),Large Growth,6,18.95,1.46,0.94,0.94
MFS Technology Fund Class A (MTCAX),Technology,7,19.55,1.42,0.97,0.84
American Century Global Small Cap Fund I Class (AGCSX),World Small/Mid Stock,7,22.28,1.24,0.97,0.91
PGIM Jennison Diversified Growth Fund-Class Z (TBDZX),Large Growth,6,20.43,1.35,1.04,0.98
BlackRock Mid-Cap Growth Equity Portfolio Investor C Shares (BMGCX),Mid-Cap Growth,6,21.01,1.32,0.95,0.91
Polen U.S. Small Company Growth Fund Institutional Class (PBSIX),Small Growth,7,24.81,1.11,0.93,0.84
Nuveen Winslow Large-Cap Growth ESG Fund Class C (NWCCX),Large Growth,6,18.86,1.47,0.95,0.97
JPMorgan Mid Cap Growth Fund Class C (OMGCX),Mid-Cap Growth,6,20.83,1.33,0.97,0.97
American Century Growth Fund I Class (TWGIX),Large Growth,6,19.25,1.43,0.98,0.99
"Morgan Stanley Institutional Fund, Inc. Global Opportunity Portfolio Class I (MGGIX)",World Large-Stock Growth,6,18.42,1.50,0.93,0.79
Neuberger Berman Guardian Fund Class Institutional (NGDLX),Large Growth,6,18.91,1.46,1.00,0.94
Goldman Sachs Strategic Growth Fund Class A (GGRAX),Large Growth,6,19.84,1.39,1.01,0.99
Putnam Growth Opportunities Fund Class A (POGAX),Large Growth,6,18.45,1.49,0.94,0.98
Invesco Global Focus Fund Class A (GLVAX),World Large-Stock Growth,6,20.49,1.34,0.99,0.72
ClearBridge Sustainability Leaders Fund Class I (LCISX),Large Blend,6,16.90,1.63,0.86,0.96
AB Small Cap Growth Portfolio Class A (QUASX),Small Growth,7,23.70,1.16,0.94,0.94
Alger Capital Appreciation Fund Class Z (ACAZX),Large Growth,6,18.82,1.46,0.96,0.98
ABR 50/50 Volatility Fund Institutional Shares (ABRSX),Long-Short Equity,4,37.66,0.73,-2.91,0.00
Alger Capital Appreciation Institutional Fund Class Z-2 (ACIZX),Large Growth,6,18.85,1.46,0.96,0.98
BlackRock Capital Appreciation Fund Institutional Shares (MAFGX),Large Growth,6,18.83,1.46,0.95,0.96
Franklin Growth Opportunities Fund Class C (FKACX),Large Growth,6,20.43,1.34,1.01,0.94
Wells Fargo Omega Growth Fund - Class C (EKOCX),Large Growth,6,20.09,1.37,1.00,0.95
Putnam Small Cap Growth Fund Class C (PNSCX),Small Growth,7,21.54,1.27,0.83,0.89
Thrivent Large Cap Growth Fund Class A (AAAGX),Large Growth,6,19.71,1.39,1.00,0.98
PGIM Jennison Diversified Growth Fund-Class A (TBDAX),Large Growth,6,20.44,1.34,1.04,0.98
Wells Fargo Fundamental Small Cap Growth Fund - Class C (EGWCX),Small Growth,7,25.22,1.09,0.99,0.91
Brown Advisory Growth Equity Fund Investor Shares (BIAGX),Large Growth,6,18.63,1.47,0.92,0.94
Invesco Technology Fund Class A (ITYAX),Technology,7,20.11,1.36,0.98,0.96
American Century Growth Fund Investor Class (TWCGX),Large Growth,6,19.25,1.42,0.98,0.99
Polen U.S. Small Company Growth Fund Investor Class (PBSRX),Small Growth,7,,,,
Putnam Sustainable Future Fund Class C (PMPCX),Large Growth,6,19.82,1.38,0.91,0.95
Alger Spectra Fund Class A (SPECX),Large Growth,6,19.50,1.40,0.98,0.97
Vanguard International Growth Fund Investor Shares (VWIGX),Foreign Large Growth,7,20.18,1.35,1.07,0.80
State Street Institutional Premier Growth Equity Fund Investment Class (SSPGX),Large Growth,6,19.11,1.43,1.00,0.94
MFS New Discovery Fund Class I (MNDIX),Small Growth,7,22.55,1.21,0.90,0.94
Oberweis Global Opportunities Fund Institutional Class (OBGIX),World Small/Mid Stock,7,22.62,1.20,0.93,0.82
DWS Large Cap Focus Growth Fund - Class C (SGGCX),Large Growth,6,18.41,1.48,0.93,0.96
"Morgan Stanley Institutional Fund, Inc. Global Opportunity Portfolio Class A (MGGPX)",World Large-Stock Growth,6,18.41,1.48,0.93,0.79
Transamerica US Growth Class I (TDEIX),Large Growth,6,19.77,1.38,1.01,0.99
Columbia Large Cap Growth Fund Class A (LEGAX),Large Growth,6,18.98,1.43,0.96,0.98
Eaton Vance-Atlanta Capital Focused Growth Fund Class I (EILGX),Large Growth,6,16.81,1.62,0.81,0.89
ABR 50/50 Volatility Fund Investor Shares (ABRJX),Long-Short Equity,4,37.52,0.72,-2.90,0.00
DWS Capital Growth Fund - Class Institutional (SDGTX),Large Growth,6,18.71,1.45,0.95,0.98
Columbia Select Large Cap Growth Fund Class C (ELGCX),Large Growth,6,22.39,1.21,1.08,0.89
BlackRock Capital Appreciation Fund Investor A Shares (MDFGX),Large Growth,6,18.84,1.44,0.95,0.96
Delaware Ivy Science and Technology Fund Class A (WSTAX),Technology,7,20.68,1.31,0.95,0.91
Principal LargeCap Growth Fund I Institutional Class (PLGIX),Large Growth,6,18.83,1.44,0.95,0.98
Alger Capital Appreciation Fund Class A (ACAAX),Large Growth,6,18.82,1.44,0.96,0.98
Federated Hermes MDT Large Cap Growth Fund Institutional Shares (QILGX),Large Growth,6,19.81,1.37,1.01,0.98
Neuberger Berman Guardian Fund Class A (NGDAX),Large Growth,6,18.90,1.43,1.00,0.94
Alger Capital Appreciation Institutional Fund Class I (ALARX),Large Growth,6,18.85,1.44,0.96,0.98
Brown Advisory Growth Equity Fund Advisor Shares (BAGAX),Large Growth,6,18.60,1.45,0.92,0.94
Virtus KAR Small-Mid Cap Core Fund Class I (VKSIX),Mid-Cap Growth,6,19.69,1.37,0.77,0.86
American Century Growth Fund A Class (TCRAX),Large Growth,6,19.24,1.40,0.98,0.99
Columbia Large Cap Growth Opportunity Fund Class A (NFEAX),Large Growth,6,19.75,1.37,1.00,0.98
John Hancock U.S. Global Leaders Growth Fund Class I (USLIX),Large Growth,6,17.68,1.53,0.88,0.95
T. Rowe Price Tax-Efficient Equity Fund (PREFX),Large Growth,6,20.07,1.34,1.01,0.97
Delaware Ivy Large Cap Growth Fund Class A (WLGAX),Large Growth,6,18.07,1.49,0.91,0.97
MFS New Discovery Fund Class A (MNDAX),Small Growth,7,22.54,1.20,0.90,0.94
Oberweis Global Opportunities Fund Investor Class (OBEGX),World Small/Mid Stock,7,22.62,1.19,0.93,0.82
MainStay Winslow Large Cap Growth Fund Class C (MLACX),Large Growth,6,18.81,1.43,0.95,0.97
AB Sustainable Global Thematic Fund Class A (ALTFX),World Large-Stock Growth,6,16.91,1.59,0.90,0.88
DWS Capital Growth Fund - Class A (SDGAX),Large Growth,6,18.70,1.44,0.95,0.98
Goldman Sachs Concentrated Growth Fund Class A (GCGAX),Large Growth,6,19.22,1.40,0.97,0.98
State Street Institutional Premier Growth Equity Fund Service Class (SSPSX),Large Growth,6,19.12,1.41,1.01,0.94
Transamerica US Growth Class A (TADAX),Large Growth,6,19.76,1.36,1.01,0.99
Eaton Vance-Atlanta Capital Focused Growth Fund Class A (EAALX),Large Growth,6,16.84,1.59,0.81,0.88
Oberweis Emerging Markets Fund Institutional Class (OIEMX),Diversified Emerging Mkts,8,19.42,1.38,0.82,0.87
Invesco Summit Fund Class A (ASMMX),Large Growth,6,20.13,1.33,0.99,0.93
Wells Fargo Discovery Fund - Class C (WDSCX),Mid-Cap Growth,6,24.20,1.11,1.00,0.92
BlackRock Large Cap Focus Growth Fund Investor C Shares (MCFOX),Large Growth,6,18.99,1.41,0.94,0.94
PGIM Jennison Mid-Cap Growth Fund- Class Z (PEGZX),Mid-Cap Growth,6,20.95,1.28,0.97,0.97
Invesco Capital Appreciation Fund Class A (OPTFX),Large Growth,6,20.49,1.31,1.06,0.92
AB Large Cap Growth Fund Class A (APGAX),Large Growth,6,17.25,1.55,0.86,0.94
Wells Fargo Premier Large Company Growth Fund - Class Inst (EKJYX),Large Growth,6,20.49,1.31,1.01,0.93
Alger Responsible Investing Fund Class Z (ALGZX),Large Growth,6,18.82,1.42,0.96,0.99
Federated Hermes MDT Large Cap Growth Fund Class A Shares (QALGX),Large Growth,6,19.78,1.35,1.00,0.98
Fuller & Thaler Behavioral Small-Cap Growth Fund Institutional Shares (FTXSX),Small Growth,7,24.39,1.10,0.95,0.91
Gabelli Growth Fund Class I (GGCIX),Large Growth,6,18.17,1.47,0.91,0.86
MFS Technology Fund Class C (MTCCX),Technology,7,19.55,1.37,0.97,0.84
John Hancock U.S. Global Leaders Growth Fund Class A (USGLX),Large Growth,6,17.69,1.51,0.88,0.95
Wells Fargo Emerging Growth Fund - Class Inst (WEMIX),Small Growth,7,26.00,1.03,1.02,0.92
Laudus U.S. Large Cap Growth Fund (LGILX),Large Growth,6,18.81,1.42,0.94,0.96
T. Rowe Price Global Growth Stock Fund (RPGEX),World Large-Stock Growth,6,19.09,1.40,1.03,0.90
American Century Small Cap Growth Fund I Class (ANONX),Small Growth,7,23.22,1.15,0.93,0.95
Virtus KAR Small-Mid Cap Core Fund Class A (VKSAX),Mid-Cap Growth,6,19.68,1.36,0.77,0.86
Artisan Global Opportunities Fund Advisor Class (APDRX),World Large-Stock Growth,6,16.21,1.64,0.85,0.86
Principal LargeCap Growth Fund I Class A (PLGAX),Large Growth,6,18.84,1.41,0.95,0.98
MFS Growth Fund Class I (MFEIX),Large Growth,6,17.63,1.51,0.89,0.97
Dunham Small Cap Growth Fund Class N (DNDGX),Small Growth,7,25.55,1.04,1.00,0.91
Amana Mutual Funds Trust Growth Fund Institutional (AMIGX),Large Growth,6,17.35,1.53,0.90,0.92
Baird MidCap Fund Institutional Class (BMDIX),Mid-Cap Growth,6,20.04,1.33,0.92,0.94
Putnam Growth Opportunities Fund Class C (POGCX),Large Growth,6,18.44,1.44,0.93,0.98
Invesco Global Focus Fund Class C (GLVCX),World Large-Stock Growth,6,20.48,1.30,0.99,0.72
Lateef Focused Sustainable Growth Fund Class I (LIMIX),Large Growth,6,20.30,1.31,1.02,0.85
Alger SmallCap Growth Institutional Fund Class Z-2 (AISZX),Small Growth,7,21.95,1.21,0.81,0.81
Fidelity® Focused Stock Fund (FTQGX),Large Growth,6,18.74,1.42,0.97,0.90
Goldman Sachs Strategic Growth Fund Class C (GGRCX),Large Growth,6,19.71,1.35,1.00,0.99
Sit Large Cap Growth Fund (SNIGX),Large Growth,6,19.60,1.36,1.00,0.99
AB Small Cap Growth Portfolio Class C (QUACX),Small Growth,7,23.68,1.12,0.94,0.94
Calamos Timpani Small Cap Growth Fund Class A (CTASX),Small Growth,7,24.42,1.09,0.93,0.86
Oberweis Emerging Markets Fund Investor Class (OBEMX),Diversified Emerging Mkts,8,19.38,1.37,0.81,0.87
Touchstone Growth Opportunities Fund Institutional Class (TGVVX),Large Growth,6,19.51,1.36,0.97,0.96
Artisan Global Opportunities Fund Investor Class (ARTRX),World Large-Stock Growth,6,16.21,1.63,0.85,0.86
Baron Discovery Fund Institutional Shares (BDFIX),Small Growth,7,25.24,1.05,0.99,0.91
Fidelity® Large Cap Growth Enhanced Index Fund (FLGEX),Large Growth,6,18.86,1.40,0.96,0.99
Praxis Growth Index Fund Class I (MMDEX),Large Growth,6,18.29,1.45,0.97,1.00
Janus Henderson Contrarian Fund Class I (JCONX),Mid-Cap Blend,6,21.98,1.20,1.10,0.85
American Century Small Cap Growth Fund Investor Class (ANOIX),Small Growth,7,23.21,1.14,0.93,0.95
Invesco Technology Fund Class C (ITHCX),Technology,7,20.10,1.31,0.98,0.96
PGIM Jennison Mid-Cap Growth Fund- Class A (PEEAX),Mid-Cap Growth,6,20.96,1.26,0.97,0.97
Touchstone Sands Capital Emerging Markets Growth Fund Institutional Class (TSEGX),Diversified Emerging Mkts,8,21.21,1.25,1.01,0.78
American Century Heritage Fund I Class (ATHIX),Mid-Cap Growth,6,22.37,1.18,1.04,0.97
Fuller & Thaler Behavioral Small-Cap Growth Fund Investor Shares (FTXNX),Small Growth,7,24.36,1.08,0.95,0.91
Wells Fargo Premier Large Company Growth Fund - Class Admin (WFPDX),Large Growth,6,20.53,1.29,1.01,0.92
T. Rowe Price Large Cap Growth Fund Investor Class (TRGOX),Large Growth,6,19.03,1.39,0.96,0.96
"BNY Mellon Research Growth Fund, Inc. Class A (DWOAX)",Large Growth,6,19.85,1.33,1.00,0.96
Gabelli Growth Fund Class AAA (GABGX),Large Growth,6,18.17,1.45,0.91,0.86
Touchstone Growth Opportunities Fund Class Y (TGVYX),Large Growth,6,19.51,1.35,0.97,0.96
PGIM Jennison Mid-Cap Growth Fund- Class R2 (PEGEX),Mid-Cap Growth,6,20.94,1.26,0.97,0.97
American Century Select Fund I Class (TWSIX),Large Growth,6,19.04,1.38,0.97,0.99
Buffalo Early Stage Growth Fund Institutional Class (BUIOX),Small Growth,7,24.29,1.08,,
"Morgan Stanley Institutional Fund, Inc. Global Opportunity Portfolio Class C (MSOPX)",World Large-Stock Growth,6,18.41,1.43,0.93,0.78
Alger Spectra Fund Class C (ASPCX),Large Growth,6,19.49,1.35,0.98,0.97
MFS Growth Fund Class A (MFEGX),Large Growth,6,17.63,1.49,0.89,0.97
Amana Mutual Funds Trust Growth Fund Investor (AMAGX),Large Growth,6,17.35,1.52,0.90,0.92
Lateef Focused Sustainable Growth Fund Class A (LIMAX),Large Growth,6,20.22,1.30,1.01,0.85
Touchstone Sands Capital Emerging Markets Growth Fund Class Y (TSEMX),Diversified Emerging Mkts,8,21.17,1.24,1.01,0.78
Wells Fargo Emerging Growth Fund - Class Admin (WFGDX),Small Growth,7,25.99,1.01,1.02,0.92
Dunham Small Cap Growth Fund Class A (DADGX),Small Growth,7,25.58,1.03,1.00,0.91
Janus Henderson Contrarian Fund Class T (JSVAX),Mid-Cap Blend,6,21.97,1.20,1.10,0.85
Wells Fargo Premier Large Company Growth Fund - Class A (EKJAX),Large Growth,6,20.51,1.28,1.01,0.92
Alger Responsible Investing Fund Class A (SPEGX),Large Growth,6,18.84,1.39,0.96,0.99
Baird MidCap Fund Investor Class (BMDSX),Mid-Cap Growth,6,20.01,1.31,0.92,0.94
Baron Durable Advantage Fund Institutional Shares (BDAIX),Large Growth,6,17.77,1.48,0.94,0.94
Columbia Large Cap Growth Fund Class C (LEGCX),Large Growth,6,18.95,1.39,0.96,0.98
Virtus AllianzGI Convertible Fund Institutional Class (ANNPX),Convertibles,5,16.48,1.59,0.98,0.98
BNY Mellon Global Emerging Markets Fund - Class I (DGIEX),Diversified Emerging Mkts,8,20.54,1.28,1.02,0.86
Jacob Small Cap Growth Fund Institutional Class shares (JSIGX),Small Growth,7,34.46,0.76,1.30,0.85
PGIM Jennison Diversified Growth Fund-Class C (TBDCX),Large Growth,6,20.45,1.28,1.04,0.98
Victory RS Science and Technology Fund Class Y (RIFYX),Technology,7,24.91,1.05,1.05,0.77
Virtus Silvant Large-Cap Growth Stock Fund Class I (STCAX),Large Growth,6,19.48,1.35,0.99,0.98
Wells Fargo Emerging Growth Fund - Class A (WEMAX),Small Growth,7,26.03,1.01,1.03,0.92
Touchstone Large Company Growth Fund Class Institutional (DSMLX),Large Growth,6,18.26,1.44,0.91,0.94
Artisan Small Cap Fund Advisor Shares (APDSX),Small Growth,7,24.12,1.09,0.84,0.74
William Blair Growth Fund Class N (WBGSX),Large Growth,6,18.16,1.44,0.90,0.94
Invesco American Franchise Fund Class A (VAFAX),Large Growth,6,19.75,1.33,0.98,0.95
"Morgan Stanley Institutional Fund, Inc. International Opportunity Portfolio Class I (MIOIX)",Foreign Large Growth,7,18.88,1.39,0.92,0.68
Buffalo Early Stage Growth Fund (BUFOX),Small Growth,7,24.26,1.08,0.95,0.90
Rational Dynamic Brands Fund Institutional Class (HSUTX),Large Growth,6,17.41,1.50,0.87,0.85
WCM Focused Global Growth Fund Institutional Class (WCMGX),World Large-Stock Growth,6,16.47,1.59,0.86,0.85
